jewelry,Pinto Cash For Gold And Jewellery Buyers,Yonge Street,
clothes,Higher Ground For Kids,Yonge Street,
clothes,Fairweather,Yonge Street,
jewelry,Oren Jewellery Couture,Steeprock Drive,
bakery,Cliffside Hearth Bread Company,Kingston Road,
hairdresser,Hairolution,Walton Street,
hairdresser,Civello Aveda,Queen Street West,
erotic,Stag Shop,Queen Street West,
hairdresser,Allan Parss Salon,Wellington Street East,
jewelry,Jewellery Exchange,Yonge Street,
gift,Timbuktu,Yonge Street,
beauty,Nails Station Nails & Spa,Yonge Street,
interior_decoration,Ziggy's at Home,College Street,
variety_store,Dollarama,Bayview Avenue,
hairdresser,Civello,Yonge Street,
dry_cleaning,Gentle Beau Cleaners,Yonge Street,
hairdresser,Especially for You Hair Design,Victoria Park Avenue,
second_hand,Value Village,Victoria Park Avenue,
variety_store,Your Dollar Store With More,Eglinton Avenue East,
bicycle,Hoopdriver Bicycles,Annette Street,
gift,Hallmark,Yonge Street,
kitchen,Degrees Kitchen Store,Yonge Street,
beauty,I Love Nails,Yonge Street,
furniture,The Dinec Store,Yonge Street,
pet_grooming,Dog Daycare & Grooming Boutique,Yonge Street,
furniture,The Sign of the Skier,Yonge Street,
paint,Benjamin Moore,Yonge Street,
tea,T-buds,Yonge Street,
sports,Getoutside,Yonge Street,
clothes,Zeglio Custom Clothiers,Victoria Street,
clothes,Black Market,Queen Street West,
laundry,Washland Coin Laundry,Overlea Boulevard,
hairdresser,Tara's Hair Fashion,Sheppard Avenue East,
car_repair,Inter Auto Centre,Sheppard Avenue East,
vacant,Golden House Chinese Restaurant,Yonge Street,
beauty,123 Nails & Spa,Yonge Street,
furniture,Glorious Gallery Fine Furniture & Accessories,Yonge Street,
hairdresser,Alcorn Hair,Yonge Street,
copyshop,L3 Digital Print & Copy,Bay Street,
weight_loss,Herbal Magic,Gerrard Street West,
hearing_aids,Hearing Life,Yonge Street,
dry_cleaning,Moore Park Cleaners,Yonge Street,
clothes,Want Apothecary,Yonge Street,
clothes,Clementine's,Yonge Street,
beauty,Farideh Spa,Yonge Street,
travel_agency,Expedia Cruises,Yonge Street,
mobile_phone,Freedom Mobile,Yonge Street,
books,Book City,Yonge Street,
gift,The Papery,Yonge Street,
beauty,Nails Attraction,Yonge Street,
tailor,My Tailor Alterations & Dry Cleaners,Yonge Street,
hairdresser,The Living Room Hair Studio,Yonge Street,
